Time,Switzerland
1980,19393.88055
1981,17665.0139
1982,17999.96926
1983,17859.23237
1984,16991.24588
1985,17152.09485
1986,24459.85363
1987,30440.51082
1988,32690.43027
1989,31308.65083
1990,39574.53981
1991,39544.49468
1992,40713.68815
1993,39237.11866
1994,43091.7771
1995,50113.83212
1996,48092.6433
1997,41584.44178
1998,42680.58673
1999,41695.69129
2000,38865.02194
2001,39638.79111
2002,42458.73847
2003,49335.74563
2004,54659.45715
2005,56242.89336
2006,59011.03246
2007,64989.15533
2008,74175.19279
2009,71568.31239
2010,76531.37294
2011,90476.75897
2012,85836.20768
2013,87304.33058
2014,88724.99094
2015,83806.4476
2016,82153.07454
2017,82254.37693
2018,85217.36915
2019,84121.93103
2020,85897.78433
2021,93446.43445
2022,93259.90572
